date,op_nxt,hi_nxt,lo_nxt,cl_nxt,open,high,low,close,volume,sma_10,sma_20,sma_50,ema_50,ema_200d,hi_250d,lo_250d,prev_close,change_p,avgvol_14d,avgvol_50d,avgvol_200d,rsi,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,vwap,stoch_k,stoch_d,ADX_14,DMP_14,DMN_14,ad_line
2008-04-01,6690.8,6949.45,6690.8,6772.7,6706.7,6727.25,6446.7,6608.1,15257000,6765.845000000001,7148.922499999999,8328.932999999999,8026.948387595347,7738.000573412597,10774.15,4921.8,6655.0,-0.7047332832456732,19051000.0,14804960.0,12777625.0,32.82748572648544,-488.7034823725453,40.76523144299313,-529.4687138155384,6594.016666666667,31.516677002395483,39.50847296357441,36.891268441311546,16.881676350801467,37.27130840132327,197004907.69092098
2008-04-02,6769.9,6836.1,6697.0,6746.1,6690.8,6949.45,6690.8,6772.7,17693000,6787.495,7053.140000000001,8269.589,7977.762176317098,7728.395592582621,10774.15,4921.8,6608.1,2.490882401900696,18869785.714285713,14817600.0,12827475.0,36.94592937663555,-466.82838292519045,50.112264712278375,-516.9406476374688,6804.316666666667,25.06839820523111,32.18786475233572,36.16401554575068,20.113176361439436,34.77317035803738,190516676.29714558
2008-04-03,6754.05,6766.3,6502.0,6545.15,6769.9,6836.1,6697.0,6746.1,12019000,6814.825,6988.0725,8223.732,7929.461698814467,7718.621507084287,10774.15,4985.3,6772.7,-0.39275325940909545,18437857.14285714,14691440.0,12845855.0,36.55586607662447,-446.49172799720327,56.35913571221249,-502.85086370941576,6759.7333333333345,32.58351579845393,29.722863668693506,35.48870928794762,19.53847225153957,33.77957871642449,186982692.83201262
2008-04-04,6485.4,6857.55,6485.4,6832.4,6754.05,6766.3,6502.0,6545.15,13123000,6823.685,6928.5,8180.986,7875.174965527625,7706.945173680464,10774.15,4985.3,6746.1,-2.978758097271028,18591071.42857143,14593640.0,12880795.0,33.66432440581829,-441.500425953941,49.08035020437984,-490.5807761583208,6604.483333333333,33.761723928488244,30.47121264405776,35.25348198162735,18.45919947955156,35.9891242987947,178144652.7260724
2008-04-07,6843.0,6959.75,6750.4,6862.7,6485.4,6857.55,6485.4,6832.4,14545000,6843.465000000001,6890.702500000001,8132.45,7834.281829624581,7698.243231653793,10774.15,5129.05,6545.15,4.388745865259014,18694500.0,14500600.0,12901605.0,40.86500655803145,-409.6439878749861,64.74943062666779,-474.3934185016539,6725.116666666666,41.62573491106644,35.99032487933621,34.69182692012235,18.927602384216144,33.20759531457193,190723742.47482955
2008-04-08,6839.25,7094.85,6805.4,7059.55,6843.0,6959.75,6750.4,6862.7,18771000,6815.0199999999995,6870.43,8087.027000000001,7796.18058140401,7689.929368652263,10774.15,5176.45,6832.4,0.4434752063696479,18792928.57142857,14521340.0,12922965.0,41.58531056553507,-377.5998385211042,77.4348639844398,-455.034702505544,6857.616666666666,45.96450100468851,40.4506532814144,33.78810644199434,20.264528312961474,31.722287609419745,192091106.93625778
2008-04-09,7090.6,7090.6,6853.5,6872.85,6839.25,7094.85,6805.4,7059.55,15678000,6808.885,6859.782499999999,8033.173000000001,7767.293107623461,7683.656937123385,10774.15,5176.45,6862.7,2.868404563801419,18311785.714285713,14569920.0,12945705.0,46.17256118525601,-332.4877575342043,98.03755597707175,-430.52531351127607,6986.599999999999,64.77493975067195,50.78839188880897,32.45711886974521,21.913582793960796,29.741546029125615,203945072.38797656
2008-04-10,6935.8,6960.2,6817.55,6838.45,7090.6,7090.6,6853.5,6872.85,14844000,6799.24,6835.6050000000005,7972.592,7732.216907324502,7675.58920640574,10774.15,5176.45,7059.55,-2.644644488671377,17640357.14285714,14687860.0,12955505.0,42.744093288935574,-308.2479475583232,97.82189276236232,-406.0698403206855,6938.983333333334,64.38265577693281,58.37403217743108,31.221201841353572,20.769563439929577,28.188860436995647,191523943.750271
2008-04-11,6773.3,6970.85,6687.9,6916.75,6935.8,6960.2,6817.55,6838.45,13180000,6779.3,6810.45,7917.969,7697.167224684326,7667.259463058419,10774.15,5230.9,6872.85,-0.5005201626690603,17383071.42857143,14683080.0,12979965.0,42.12345450722723,-288.48800586715333,94.06546756282575,-382.5534734299791,6872.066666666667,61.400489486250216,63.51936167128499,30.17728154420326,20.090007841979336,28.091118911900438,182206011.7488689
2008-04-15,6979.85,7052.6,6927.9,6951.9,6773.3,6970.85,6687.9,6916.75,16250000,6805.475,6810.555,7868.221,7666.5626276378825,7659.791707207091,10774.15,5382.2,6838.45,1.1449963076428205,17069357.14285714,14799560.0,13021935.0,44.11259185918998,-263.47280362059973,95.26453584750351,-358.73733946810324,6858.5,54.752795136674756,60.178646799952595,29.579174708237545,18.777624011900098,29.249314990111795,192242016.3433202
