FIRM,ESTB,Avg_Establishments_per_Firm
5076850,6826948,1.3447212346238318
5135833,6281326,1.2230393784221567
6516346,7851652,1.20491637491318
13046938,13854692,1.061911384878199
5536554,5846774,1.0560312425382286
5645206,5700622,1.0098164708249797
