sum,mean,count
2232906,8896.03984063745,251
2208573,5136.216279069768,430
2202150,5888.101604278075,374
2197216,2929.6213333333335,750
2193435,4929.067415730337,445
2174911,4748.7139737991265,458
2165712,3157.014577259475,686
2160364,2748.554707379135,786
2124959,4796.747178329571,443
2118495,2615.425925925926,810
2115264,2530.22009569378,836
2110641,4818.815068493151,438
2108204,3263.4736842105262,646
2081004,2454.014150943396,848
2063789,4606.671875,448
2052939,1782.0651041666667,1152
2044379,4787.772833723653,427
2025730,4461.960352422908,454
2023524,5046.194513715711,401
2014170,4888.76213592233,412
2006824,4420.31718061674,454
2001360,5365.576407506703,373
1992286,2354.947990543735,846
1975308,2552.077519379845,774
1954010,2473.4303797468356,790
1951600,2202.708803611738,886
1943679,4243.840611353712,458
1937536,2569.676392572944,754
1919530,2505.9138381201046,766
1914908,2358.2610837438424,812
1913780,4339.637188208617,441
1911878,4674.518337408313,409
1893554,2459.161038961039,770
1891352,4728.38,400
1888192,2237.1943127962086,844
1879952,4361.83758700696,431
1879664,2519.656836461126,746
1872630,2463.9868421052633,760
1861850,4280.114942528736,435
1860204,4088.3604395604398,455
1845978,2251.192682926829,820
1829858,4999.6120218579235,366
1806426,1520.560606060606,1188
1801200,2370.0,760
1788446,2055.6850574712644,870
1787734,2383.6453333333334,750
1778730,2206.861042183623,806
1773972,2015.8772727272728,880
1766630,2488.211267605634,710
1765758,4759.455525606469,371
1758313,3847.512035010941,457
1746448,1966.7207207207207,888
1738769,3916.1463963963965,444
1733717,8457.156097560975,205
1718261,3835.4040178571427,448
1717481,3894.514739229025,441
1714130,1988.5498839907193,862
1702738,3941.5231481481483,432
1685858,2259.86327077748,746
1685194,1982.5811764705882,850
1659770,2034.0318627450981,816
1658198,4197.969620253165,395
1643018,1825.5755555555556,900
1627889,5337.3409836065575,305
1620578,3569.555066079295,454
1611805,3999.516129032258,403
1598155,4579.240687679083,349
1586371,3759.1729857819905,422
1578370,3587.2045454545455,440
1559671,5181.631229235881,301
1559436,2491.111821086262,626
1556242,2126.0136612021856,732
1554038,2105.742547425474,738
1548204,1812.8852459016393,854
1546916,1841.5666666666666,840
1545842,3603.3613053613053,429
1543606,1984.06940874036,778
1542716,3915.522842639594,394
1541130,1787.8538283062644,862
1536333,3523.6995412844035,436
1501294,3443.3348623853212,436
1493600,2190.0293255131965,682
1492006,2095.5140449438204,712
1478196,1730.9086651053865,854
1476202,1907.2377260981912,774
1471020,1852.670025188917,794
1470810,3723.5696202531644,395
1463535,3560.912408759124,411
1445779,3377.9883177570096,428
1440526,1731.4014423076924,832
1415738,3403.216346153846,416
1406070,2008.6714285714286,700
1403025,3076.809210526316,456
1399150,3158.352144469526,443
1397600,1671.7703349282297,836
1396692,1813.8857142857144,770
1393728,3083.4690265486724,452
1387888,1625.1615925058547,854
1384424,2197.4984126984127,630
1380728,1675.6407766990292,824
1368840,1587.9814385150812,862
1367682,2041.3164179104479,670
1367412,1789.806282722513,764
1362519,3595.036939313984,379
1356340,2588.4351145038167,524
1339562,1726.2396907216496,776
1333483,3137.6070588235293,425
1315564,4163.177215189873,316
1312884,5402.814814814815,243
1299376,1850.962962962963,702
1299336,3192.4717444717444,407
1298856,1576.2815533980583,824
1290956,3251.778337531486,397
1289811,3078.3078758949882,419
1285916,4388.791808873721,293
1284360,1514.5754716981132,848
1281840,1746.3760217983652,734
1281210,1518.021327014218,844
1276104,1844.0809248554913,692
1275890,1559.7677261613692,818
1259341,3180.15404040404,396
1259034,1202.5157593123208,1047
1258569,2920.1136890951275,431
1251088,1522.0048661800486,822
1243302,1573.8,790
1243214,1622.9947780678851,766
1234107,3010.0170731707317,410
1233454,1478.9616306954435,834
1230798,2944.492822966507,418
1229482,1449.8608490566037,848
1217356,1593.3979057591623,764
1217336,2415.3492063492063,504
1216667,3041.6675,400
1216316,1949.224358974359,624
1204481,2653.041850220264,454
1204202,1961.2410423452768,614
1203568,1547.0025706940874,778
1201573,3026.632241813602,397
1201214,3246.5243243243244,370
1198363,2674.917410714286,448
1191219,2836.2357142857145,420
1190394,1124.0736543909347,1059
1184936,1420.7865707434053,834
1182863,3458.6637426900584,342
1181998,1459.2567901234568,810
1177542,1254.038338658147,939
1169594,1670.8485714285714,700
1168028,1445.579207920792,808
1166488,1656.9431818181818,704
1164955,2890.7071960297767,403
1159372,2800.415458937198,414
1158170,2585.2008928571427,448
1157312,2660.487356321839,435
1155801,2574.1670378619156,449
1132094,1542.3623978201636,734
1130234,1483.246719160105,762
1129880,1816.5273311897106,622
1127866,1773.374213836478,636
1107012,1422.8946015424165,778
1106484,1844.14,600
1095380,2310.928270042194,474
1086069,2623.355072463768,414
1077628,1468.158038147139,734
1076960,1380.7179487179487,780
1071036,2473.5242494226327,433
1070361,2787.3984375,384
1069076,2613.877750611247,409
1062174,1331.045112781955,798
1061066,1200.3009049773755,884
1060852,1477.5097493036212,718
1058721,2707.7263427109974,391
1056507,1189.7601351351352,888
1055387,2404.0706150341684,439
1054572,2396.7545454545457,440
1047154,1688.958064516129,620
1046743,2940.2893258426966,356
1039322,2553.6167076167076,407
1035200,2512.621359223301,412
1026217,2359.119540229885,435
1023888,1706.48,600
1023182,1247.7829268292683,820
1020396,2340.3577981651374,436
1016200,1260.7940446650125,806
1008742,3879.776923076923,260
1007960,1282.3918575063612,786
1006536,2266.972972972973,444
998894,1447.672463768116,690
996066,1226.6822660098521,812
994694,1437.4190751445087,692
990379,6691.75,148
986499,896.0027247956403,1101
981477,2200.621076233184,446
980891,2286.4592074592074,429
978492,2280.867132867133,429
977170,2283.107476635514,428
976278,1348.4502762430939,724
974848,2377.6780487804876,410
974074,2472.269035532995,394
971524,1226.671717171717,792
967784,1386.5100286532952,698
958708,1405.7302052785924,682
957323,2329.2530413625304,411
955382,1305.1666666666667,732
954828,1134.0,842
951874,1641.1620689655172,580
950356,1309.030303030303,726
938730,1303.7916666666667,720
935044,2144.5963302752293,436
931833,2445.755905511811,381
930840,1199.5360824742268,776
927940,1318.096590909091,704
910398,2528.883333333333,360
910107,2203.648910411622,413
902954,1301.086455331412,694
902798,1275.138418079096,708
892138,1874.2394957983192,476
890667,2260.57614213198,394
889298,1134.3086734693877,784
886012,2243.0683544303797,395
884221,2014.1708428246013,439
883274,1244.0478873239438,710
879818,1188.9432432432432,740
878238,1158.6253298153035,758
874510,1462.391304347826,598
872034,2121.7372262773724,411
871178,1037.1166666666666,840
869224,1962.1309255079007,443
869128,2030.6728971962616,428
862895,2313.3914209115283,373
860536,2020.037558685446,426
856232,2103.764127764128,407
854956,1194.072625698324,716
850948,2138.0603015075376,398
847872,648.2201834862385,1308
845230,2341.3573407202216,361
843738,1201.905982905983,702
841538,1175.332402234637,716
835252,1036.2928039702233,806
833992,1845.1150442477876,452
830022,1242.5479041916167,668
829332,1208.938775510204,686
825543,1951.6382978723404,423
824640,1145.3333333333333,720
824588,1090.7248677248676,756
824526,1334.1844660194174,618
823624,1150.3128491620112,716
821889,1497.0655737704917,549
818788,6498.31746031746,126
816043,1871.658256880734,436
814406,1920.7688679245282,424
813447,2549.9905956112852,319
810330,1995.8866995073893,406
808992,1081.5401069518716,748
800904,1275.3248407643312,628
796850,1182.2700296735904,674
789534,1150.9241982507288,686
788838,955.0096852300242,826
777130,1904.7303921568628,408
770022,1135.725663716814,678
762364,1064.7541899441342,716
760841,2056.327027027027,370
759620,1787.3411764705882,425
752377,1909.5862944162436,394
745970,937.1482412060302,796
743561,1796.0410628019324,414
738937,1949.7018469656991,379
736468,1089.4497041420118,676
735166,1713.6736596736596,429
733395,2284.7196261682243,321
727452,949.6762402088773,766
726537,1693.5594405594406,429
725900,1163.301282051282,624
716704,1996.3899721448468,359
707174,974.068870523416,726
705528,923.4659685863875,764
704962,1249.9326241134752,564
703273,1771.4685138539044,397
701482,1723.5429975429975,407
700324,2223.2507936507936,315
700282,1090.7819314641745,642
697502,908.2057291666666,768
694562,1702.3578431372548,408
693721,1725.6741293532339,402
693232,1022.4660766961651,678
691846,1721.0099502487562,402
690908,2597.3984962406016,266
690194,7042.7959183673465,98
676926,4767.084507042254,142
674995,1780.9894459102902,379
672798,1067.9333333333334,630
670636,1006.960960960961,666
668999,2347.364912280702,285
668353,1937.255072463768,345
666319,2206.3543046357618,302
654615,1620.3341584158416,404
654200,2450.187265917603,267
652640,997.9204892966361,654
647498,1865.9884726224784,347
646867,1671.4909560723513,387
645920,949.8823529411765,680
643170,2108.754098360656,305
640337,1994.8193146417445,321
639620,2334.3795620437954,274
638853,663.398753894081,963
638810,889.7075208913649,718
635799,1478.6023255813955,430
635794,1609.6050632911392,395
635044,2236.0704225352115,284
632222,2748.791304347826,230
630912,1523.9420289855072,414
629744,805.2992327365729,782
629384,798.7106598984772,788
627342,3605.4137931034484,174
623604,898.5648414985591,694
622890,848.6239782016348,734
622534,1013.899022801303,614
620837,1587.8184143222506,391
619746,887.8882521489971,698
617802,882.5742857142857,700
617244,899.7725947521866,686
613525,1680.890410958904,365
609639,1591.7467362924283,383
608862,2397.0944881889764,254
605531,1760.264534883721,344
604613,1432.7322274881517,422
603947,5206.439655172414,116
599116,1423.0783847980997,421
592154,1604.7533875338754,369
588428,878.2507462686567,670
584933,2104.0755395683454,278
580281,770.6254980079681,753
578902,1362.1223529411764,425
576306,1242.0387931034484,464
575021,1529.311170212766,376
574466,1139.813492063492,504
574372,1515.4934036939314,379
573298,1440.4472361809046,398
572642,880.9876923076923,650
572096,880.1476923076923,650
567631,2385.0042016806724,238
565102,961.0578231292517,588
564120,774.8901098901099,728
562314,812.5924855491329,692
561412,2048.9489051094893,274
560878,726.5259067357513,772
556179,1296.4545454545455,429
554386,871.6761006289308,636
554030,791.4714285714285,700
551670,751.5940054495912,734
551326,825.3383233532934,668
550728,1404.9183673469388,392
550396,836.468085106383,658
549422,1289.7230046948357,426
548916,1358.7029702970297,404
547304,855.1625,640
543087,704.3929961089494,771
541620,830.7055214723927,652
539529,1284.5928571428572,420
535956,726.2276422764228,738
531743,1754.927392739274,303
530595,1579.1517857142858,336
530458,2777.2670157068064,191
529329,1729.8333333333333,306
529300,2117.2,250
526772,1070.6747967479675,492
526366,1414.9623655913979,372
525444,844.7652733118971,622
525416,1178.0627802690583,446
524489,1584.5589123867069,331
523068,1341.2,390
521618,1762.222972972973,296
521482,783.006006006006,666
519742,773.4255952380952,672
518444,785.5212121212121,660
517632,772.5850746268657,670
517150,1444.5530726256984,358
516197,1554.8102409638554,332
515776,958.6914498141264,538
515013,21458.875,24
511214,776.9209726443769,658
510626,1580.8854489164087,323
509120,742.1574344023323,686
508888,1180.7146171693735,431
506817,1608.942857142857,315
500072,781.3625,640
496936,1339.4501347708895,371
495038,1854.0749063670412,267
494245,1886.4312977099237,262
489302,4704.826923076923,104
488892,1646.1010101010102,297
477068,1908.272,250
474890,786.2417218543046,604
474844,1637.393103448276,290
474738,953.289156626506,498
473256,1204.2137404580153,393
472322,1249.5291005291006,378
471010,1252.686170212766,376
466574,796.2013651877133,586
466106,1083.9674418604652,430
464950,1073.7875288683604,433
463950,783.6993243243244,592
461108,1397.2969696969697,330
461012,2917.7974683544303,158
455989,1190.5718015665796,383
455181,1091.5611510791366,417
453496,1114.2407862407863,407
453433,1318.1191860465117,344
452827,1677.137037037037,270
449667,494.6831683168317,909
445496,720.8673139158576,618
441580,774.7017543859649,570
441512,2275.8350515463917,194
441156,1822.9586776859503,242
441153,1242.6845070422535,355
439628,691.2389937106918,636
437313,1313.2522522522522,333
435172,697.3910256410256,624
435041,1135.8772845953004,383
433081,1353.378125,320
432474,686.4666666666667,630
431794,664.2984615384615,650
430623,1430.6411960132891,301
430542,464.4466019417476,927
430538,652.3303030303031,660
430287,1661.3397683397684,259
429360,1202.689075630252,357
426840,730.8904109589041,584
426046,2173.704081632653,196
424340,1208.945868945869,351
423742,1126.973404255319,376
417378,970.646511627907,430
417057,1362.9313725490197,306
416025,1320.7142857142858,315
415226,1203.5536231884057,345
414910,1100.5570291777187,377
410798,1901.8425925925926,216
409748,1107.427027027027,370
408990,827.914979757085,494
408612,977.5406698564593,418
408222,400.2176470588235,1020
407484,619.2765957446809,658
407343,587.7965367965368,693
407301,1031.1417721518987,395
406152,2281.752808988764,178
405831,679.7839195979899,597
405482,1142.2028169014084,355
405159,1049.6347150259066,386
404830,551.5395095367847,734
404766,1143.406779661017,354
404407,3134.937984496124,129
403682,1062.321052631579,380
402006,670.01,600
401631,1356.8614864864865,296
400502,621.8975155279503,644
398342,642.4870967741936,620
396280,567.7363896848137,698
395922,1816.1559633027523,218
395140,1227.142857142857,322
394279,2646.1677852348994,149
393560,634.7741935483871,620
393002,770.5921568627451,510
392851,1042.0450928381963,377
392746,674.8213058419244,582
390644,640.4,610
390454,1162.0654761904761,336
390156,1912.5294117647059,204
388218,667.0412371134021,582
384976,1002.5416666666666,384
382248,946.1584158415842,404
381274,870.4885844748859,438
380904,1232.6990291262136,309
379869,1012.984,375
379843,1525.4738955823293,249
379118,952.5577889447236,398
378138,1543.4204081632654,245
378120,1512.48,250
377806,694.4963235294117,544
376968,578.1717791411043,652
376818,649.6862068965518,580
373014,986.8095238095239,378
371536,593.5079872204473,626
370611,1058.8885714285714,350
370578,586.3575949367089,632
366968,1574.969957081545,233
364606,872.2631578947369,418
362410,1357.3408239700375,267
361838,503.9526462395543,718
361836,709.4823529411765,510
361146,678.8458646616541,532
360345,955.8222811671087,377
359585,1257.2902097902097,286
359330,968.544474393531,371
355534,1015.8114285714286,350
355492,987.4777777777778,360
352926,974.9337016574585,362
351496,917.7441253263707,383
350995,1210.3275862068965,290
339876,1725.2588832487309,197
339808,862.4568527918782,394
339085,960.5807365439093,353
336888,1471.1266375545852,229
336326,11597.448275862069,29
333264,1354.7317073170732,246
332774,926.9470752089137,359
332641,1264.7946768060835,263
328813,1014.854938271605,324
327534,1799.6373626373627,182
324607,946.3760932944606,343
324589,1096.5844594594594,296
323999,863.9973333333334,375
323142,626.2441860465116,516
319726,841.3842105263158,380
319563,977.256880733945,327
317648,2406.4242424242425,132
316074,516.4607843137255,612
315878,1595.3434343434344,198
313678,1275.1138211382113,246
313603,1052.3590604026845,298
310532,722.1674418604651,430
309881,819.7910052910053,378
307938,521.9288135593221,590
305798,562.1286764705883,544
304720,599.8425196850394,508
302954,2483.2295081967213,122
299715,1012.5506756756756,296
298827,1370.7660550458716,218
297846,478.85209003215436,622
294450,1326.3513513513512,222
294449,1851.880503144654,159
294189,1000.6428571428571,294
293478,791.0458221024259,371
292499,1151.5708661417323,254
291743,826.4674220963173,353
290162,1307.036036036036,222
289434,907.3166144200627,319
288998,1651.4171428571428,175
288646,468.58116883116884,616
288508,805.8882681564246,358
287851,1224.8978723404255,235
286204,1445.4747474747476,198
285340,827.072463768116,345
283926,460.91883116883116,616
282289,1243.5638766519824,227
282284,2240.3492063492063,126
281056,662.8679245283018,424
279887,1175.9957983193278,238
279391,947.0881355932204,295
277882,834.4804804804805,333
277474,1092.4173228346456,254
275521,787.2028571428572,350
275254,1176.2991452991453,234
273846,1342.3823529411766,204
269467,806.7874251497007,334
268745,995.3518518518518,270
267945,821.9171779141104,326
266928,698.7643979057592,382
266550,1257.311320754717,212
265569,1680.8164556962026,158
265503,787.8427299703264,337
265007,1090.5637860082304,243
264814,1351.091836734694,196
264637,1145.6147186147186,231
264003,739.5042016806723,357
263344,961.1094890510949,274
262880,952.463768115942,276
262812,1622.2962962962963,162
260357,801.0984615384615,325
259698,525.7044534412955,494
259120,766.6272189349113,338
258711,368.53418803418805,702
258615,745.2881844380404,347
258196,485.3308270676692,532
258098,506.07450980392156,510
257902,914.5460992907801,282
257070,554.0301724137931,464
257063,1053.5368852459017,244
256149,416.50243902439024,615
254747,1061.4458333333334,240
253080,3466.849315068493,73
252370,846.8791946308725,298
251209,688.2438356164383,365
249968,752.9156626506024,332
248130,432.2822299651568,574
247458,752.1519756838906,329
246502,454.80073800738006,542
246346,557.3438914027149,442
246108,1212.3546798029556,203
245896,428.390243902439,574
245109,878.5268817204301,279
243628,766.125786163522,318
243100,1085.267857142857,224
242145,593.4926470588235,408
241512,416.4,580
241404,428.02127659574467,564
240742,838.822299651568,287
240315,1232.3846153846155,195
238386,1113.9532710280373,214
236490,1094.861111111111,216
234512,1172.56,200
233964,409.02797202797206,572
232994,656.3211267605634,355
232202,404.5331010452962,574
230580,660.6876790830945,349
229650,1822.6190476190477,126
228876,539.8018867924528,424
228725,1514.7350993377484,151
228709,699.4159021406728,327
228508,1904.2333333333333,120
226191,1229.2989130434783,184
225750,1095.873786407767,206
225650,1722.5190839694656,131
223704,731.0588235294117,306
223412,765.1095890410959,292
222638,654.8176470588236,340
221997,781.6795774647887,284
220272,483.05263157894734,456
218744,630.3861671469741,347
217028,1074.3960396039604,202
216728,692.4217252396166,313
215844,1316.121951219512,164
214668,429.336,500
214083,829.7790697674419,258
212478,568.1229946524064,374
211664,5291.6,40
211504,927.6491228070175,228
209491,658.7767295597484,318
209374,1246.2738095238096,168
209152,2323.911111111111,90
207818,555.663101604278,374
207280,557.2043010752689,372
206489,909.6431718061674,227
205964,447.74782608695654,460
205300,1299.367088607595,158
204878,853.6583333333333,240
204489,1310.826923076923,156
203682,254.28464419475657,801
202704,590.9737609329446,343
202356,595.1647058823529,340
201933,917.8772727272727,220
201858,2403.0714285714284,84
200732,651.7272727272727,308
198912,629.4683544303797,316
198556,694.2517482517483,286
198505,958.9613526570048,207
197883,610.75,324
197843,585.3343195266273,338
197715,882.65625,224
195942,867.0,226
195825,874.21875,224
195576,1330.4489795918366,147
195198,771.5335968379446,253
194131,1797.5092592592594,108
190053,995.041884816754,191
187440,676.6787003610108,277
186820,1015.3260869565217,184
183846,967.6105263157895,190
183805,673.2783882783883,273
183036,294.743961352657,621
182480,581.1464968152866,314
181964,988.9347826086956,184
180540,334.3333333333333,540
179674,795.0176991150443,226
179514,361.9233870967742,496
179484,598.28,300
179302,572.8498402555911,313
178827,977.1967213114754,183
178555,593.2059800664451,301
176995,688.6964980544747,257
176924,696.5511811023622,254
176578,505.9541547277937,349
175185,789.1216216216217,222
173850,695.4,250
173126,534.3395061728395,324
172840,598.0622837370242,289
172370,1258.1751824817518,137
172359,755.9605263157895,228
172064,754.6666666666666,228
171728,756.5110132158591,227
171256,685.024,250
170754,607.6654804270463,281
170452,358.0924369747899,476
169628,302.90714285714284,560
168856,1017.2048192771084,166
168584,581.3241379310344,290
167960,815.3398058252427,206
167430,558.1,300
166100,755.0,220
165814,1056.1401273885351,157
165192,519.4716981132076,318
164926,707.8369098712446,233
164879,2842.7413793103447,58
164121,1641.21,100
163526,1176.4460431654677,139
162274,1352.2833333333333,120
162229,927.0228571428571,175
161826,532.3223684210526,304
161368,527.3464052287582,306
159546,453.2556818181818,352
159046,537.3175675675676,296
158600,839.1534391534392,189
158306,442.195530726257,358
157699,592.8533834586466,266
157498,693.8237885462555,227
157136,827.0315789473684,190
156800,607.7519379844962,258
156585,559.2321428571429,280
156209,1370.2543859649122,114
156148,351.68468468468467,444
155728,767.1330049261084,203
155276,367.9526066350711,422
154638,818.1904761904761,189
154592,1180.0916030534352,131
154366,318.93801652892563,484
154233,634.7037037037037,243
154061,1273.2314049586778,121
153920,2482.5806451612902,62
152348,718.622641509434,212
152262,481.84177215189874,316
151979,546.6870503597122,278
151955,734.0821256038647,207
151849,909.2754491017964,167
151782,882.453488372093,172
151351,678.7040358744395,223
149727,1077.1726618705036,139
149135,877.2647058823529,170
148826,463.6323987538941,321
148276,664.9147982062781,223
148191,733.6188118811881,202
147408,748.263959390863,197
147349,722.2990196078431,204
146017,1168.136,125
145520,523.4532374100719,278
144847,1591.7252747252746,91
144779,518.921146953405,279
144056,280.26459143968873,514
143579,507.3462897526502,283
143262,617.5086206896551,232
143149,622.3869565217391,230
141144,672.1142857142858,210
139785,1194.7435897435898,117
138148,417.3655589123867,331
137499,254.62777777777777,540
137086,493.1151079136691,278
137040,337.53694581280786,406
136899,536.8588235294118,255
136480,321.8867924528302,424
136302,551.82995951417,247
136176,328.92753623188406,414
135977,690.2385786802031,197
135471,846.69375,160
135334,5413.36,25
133172,530.5657370517928,251
131901,511.24418604651163,258
130763,1520.5,86
130359,566.7782608695652,230
130032,252.98054474708172,514
129211,471.5729927007299,274
128748,809.7358490566038,159
128294,276.49568965517244,464
127833,443.8645833333333,288
127720,654.974358974359,195
126527,1205.0190476190476,105
126099,1248.5049504950496,101
125943,906.0647482014389,139
