date,time,open,high,low,close,vix,ce_vol,pe_vol,total_vol,ce_oi,pe_oi,ce_oi_chg,pe_oi_chg,tot_oi_chg,pcr_vol,pcr_oi,SMA_5,SMA_10,SMA_20,EMA_12,EMA_20,RSI,EMA_26,MACD,Signal_Line,MACD_Histogram,Middle_Band,Upper_Band,Lower_Band,%K,%D,ATR,OBV,VWAP,ROC_10,ROC_20,CCI,plus_DM,minus_DM,TR,plus_DI,minus_DI,DX,ADX,exp_day,pivot,s1,s2,s3,r1,r2,r3,nxt_opn,nxt_high,nxt_low,nxt_close
2024-06-24,10:00:53,51240.2,51240.2,51200.0,51201.9,,151662810,181258830,332921640,60741630,58009800,12427050,7292940,19719990,1.1951435556284364,0.95502540843899,,,,51201.9,51201.9,,51201.9,0.0,0.0,0.0,,,,,,,0.0,51201.9,,,,0.0,0.0,,,,,,6,51606.91666666666,51279.48177083333,50897.51432291666,50570.07942708333,51988.88411458333,52316.31901041666,52698.28645833333,51202.0,51215.25,51176.25,51207.1
2024-06-24,10:02:33,51202.0,51215.25,51176.25,51207.1,,159525180,189702405,349227585,61045575,58484040,12730995,7767180,20498175,1.18916903901942,0.9580389733408196,,,,51202.7,51202.39523809524,,51202.28518518519,0.4148148148087784,0.0829629629617557,0.3318518518470227,,,,,,,349227585.0,51204.562149828,,,,0.0,23.75,,,,,,6,51606.91666666666,51279.48177083333,50897.51432291666,50570.07942708333,51988.88411458333,52316.31901041666,52698.28645833333,51207.1,51229.3,51189.35,51213.8
2024-06-24,10:04:12,51207.1,51229.3,51189.35,51213.8,,159525180,189702405,349227585,61045575,58484040,12730995,7767180,20498175,1.18916903901942,0.9580389733408196,,,,51204.40769230769,51203.48140589569,,51203.13813443073,1.2695578769562417,0.3202819457606529,0.9492759311955888,,,,,,,698455170.0,51207.69011632373,,,,14.05000000000291,0.0,,,,,,6,51606.91666666666,51279.48177083333,50897.51432291666,50570.07942708333,51988.88411458333,52316.31901041666,52698.28645833333,51219.75,51260.0,51219.75,51251.0
2024-06-24,10:05:51,51219.75,51260.0,51219.75,51251.0,,172480395,201129495,373609890,60865110,58680300,12550530,7963440,20513970,1.1661006168266257,0.9641040655311393,,,,51211.57573964497,51208.00698628658,,51206.68345780623,4.8922818387363805,1.2346819243557985,3.657599914380582,,,,,,,1072065060.0,51219.2069519466,,,,30.69999999999709,0.0,,,,,,6,51606.91666666666,51279.48177083333,50897.51432291666,50570.07942708333,51988.88411458333,52316.31901041666,52698.28645833333,51256.05,51305.95,51248.0,51295.2
2024-06-24,10:07:31,51256.05,51305.95,51248.0,51295.2,,172480395,201129495,373609890,60865110,58680300,12550530,7963440,20513970,1.1661006168266257,0.9641040655311393,51233.8,,,51224.44101046882,51216.31108283071,,51213.24023870948,11.200771759344208,3.2278998913534807,7.972871867990726,,,,,,,1445674950.0,51235.16996148098,,,,45.94999999999709,0.0,,,,,,6,51606.91666666666,51279.48177083333,50897.51432291666,50570.07942708333,51988.88411458333,52316.31901041666,52698.28645833333,51290.05,51319.0,51265.0,51310.15
2024-06-24,10:09:10,51290.05,51319.0,51265.0,51310.15,,196392195,217739895,414132090,60030525,59529435,11715945,8812575,20528520,1.1086993299300922,0.991652746665134,51255.45,,,51237.62700885823,51225.24812256112,,51220.41873954581,17.208269312417542,6.023973775566294,11.184295536851248,,,,,,,1859807040.0,51249.33114810812,,,,13.05000000000291,0.0,,,,,,6,51606.91666666666,51279.48177083333,50897.51432291666,50570.07942708333,51988.88411458333,52316.31901041666,52698.28645833333,51319.0,51377.0,51319.0,51336.55
2024-06-24,10:10:51,51319.0,51377.0,51319.0,51336.55,,196392195,217739895,414132090,60030525,59529435,11715945,8812575,20528520,1.1086993299300922,0.991652746665134,51281.34,,,51252.84593057235,51235.84830136482,,51229.02105513501,23.82487543734169,9.584154107921371,14.240721329420316,,,,,,,2273939130.0,51263.18694195682,,,,58.0,0.0,,,,,,6,51606.91666666666,51279.48177083333,50897.51432291666,50570.07942708333,51988.88411458333,52316.31901041666,52698.28645833333,51342.0,51353.9,51317.0,51336.45
2024-06-24,10:12:30,51342.0,51353.9,51317.0,51336.45,,196392195,217739895,414132090,60030525,59529435,11715945,8812575,20528520,1.1086993299300922,0.991652746665134,51305.87,,,51265.70809509968,51245.42941552055,,51236.97875475464,28.729340345045784,13.413191355346257,15.316148989699528,,,,,,,1859807040.0,51273.23019089956,,,,0.0,2.0,,,,,,6,51606.91666666666,51279.48177083333,50897.51432291666,50570.07942708333,51988.88411458333,52316.31901041666,52698.28645833333,51348.2,51388.55,51336.3,51350.0
2024-06-24,10:14:09,51348.2,51388.55,51336.3,51350.0,,206433525,223796640,430230165,60051990,59602020,11737410,8885160,20622570,1.0841099574306063,0.9925069926908334,51325.67,,,51278.67608046896,51255.38851880431,,51245.35069884688,33.325381622082205,17.395629408693445,15.92975221338876,,,,,,,2290037205.0,51282.80033093312,,,,34.650000000001455,0.0,,,,,,6,51606.91666666666,51279.48177083333,50897.51432291666,50570.07942708333,51988.88411458333,52316.31901041666,52698.28645833333,51345.65,51414.05,51340.55,51380.45
2024-06-24,10:15:49,51345.65,51414.05,51340.55,51380.45,,206433525,223796640,430230165,60051990,59602020,11737410,8885160,20622570,1.0841099574306063,0.9925069926908334,51342.72,51288.26,,51294.33360655066,51267.29913606104,,51255.35805448785,38.975552062809584,21.711613939516678,17.26393812329291,,,,,,,2720267370.0,51293.62406915134,,,,25.5,0.0,,,,,,6,51606.91666666666,51279.48177083333,50897.51432291666,50570.07942708333,51988.88411458333,52316.31901041666,52698.28645833333,51382.4,51393.75,51334.4,51341.4
